FID,gid,objectid,sampleno,longitude,latitude,sio2,al2o3,fe2o3,tio2,cao,mgo,mno,na2o,k2o,p2o5,loi,ba,ga,sc,v,th,pb,ni,co,rb,sr,y,zr,nb,cr,cu,zn,au,li,cs,as_,sb,bi,se,ag,be,ge,mo,sn,la,ce,pr,nd,sm,eu,tb,gd,dy,ho,er,tm,yb,lu,hf,ta,w,u,pt,pd,toposheet,in_,f,te,tl,hg,cd
52,349242,353749,55K/03/58/S/21-22,78.111525000000000,21.329611000000000,43.100000000000001,15.480000000000000,18.390000000000001,3.000000000000000,3.140000000000000,2.030000000000000,0.280000000000000,0.320000000000000,0.230000000000000,0.130000000000000,0.000000000000000,105.000000000000000,26.000000000000000,50.000000000000000,452.000000000000000,3.160000000000000,1.000000000000000,128.000000000000000,0.500000000000000,13.000000000000000,90.000000000000000,34.000000000000000,181.000000000000000,12.000000000000000,256.000000000000000,187.000000000000000,122.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.500000000000000,1.590000000000000,0.000000000000000,2.020000000000000,16.370000000000001,39.859999999999999,5.110000000000000,25.899999999999999,6.120000000000000,2.170000000000000,1.180000000000000,6.680000000000000,7.200000000000000,1.380000000000000,3.930000000000000,0.550000000000000,3.270000000000000,0.530000000000000,5.410000000000000,1.210000000000000,0.000000000000000,0.600000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
53,349243,353750,55K/03/59/S/21-22,78.128818999999993,21.327249999999999,46.960000000000001,13.830000000000000,16.379999999999999,2.730000000000000,3.870000000000000,2.220000000000000,0.290000000000000,0.360000000000000,0.620000000000000,0.170000000000000,0.000000000000000,138.000000000000000,24.000000000000000,43.000000000000000,374.000000000000000,3.490000000000000,1.000000000000000,112.000000000000000,0.500000000000000,22.730000000000000,109.000000000000000,35.000000000000000,188.000000000000000,12.000000000000000,204.000000000000000,180.000000000000000,120.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.500000000000000,1.380000000000000,0.000000000000000,0.500000000000000,16.160000000000000,39.170000000000002,4.640000000000000,22.359999999999999,5.320000000000000,1.650000000000000,0.920000000000000,5.440000000000000,6.020000000000000,1.080000000000000,2.980000000000000,0.450000000000000,2.580000000000000,0.410000000000000,4.290000000000000,0.940000000000000,0.000000000000000,0.670000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
54,349244,353751,55K/03/60/S/21-22,78.140468999999996,21.327500000000001,47.460000000000001,12.539999999999999,14.660000000000000,2.770000000000000,5.300000000000000,2.840000000000000,0.240000000000000,0.560000000000000,0.650000000000000,0.230000000000000,0.000000000000000,121.000000000000000,20.000000000000000,36.000000000000000,366.000000000000000,5.030000000000000,1.000000000000000,95.000000000000000,7.000000000000000,31.090000000000000,161.000000000000000,29.000000000000000,181.000000000000000,12.000000000000000,175.000000000000000,157.000000000000000,121.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.050000000000000,1.270000000000000,0.000000000000000,0.500000000000000,19.460000000000001,42.369999999999997,5.350000000000000,23.690000000000001,5.570000000000000,1.610000000000000,0.980000000000000,5.270000000000000,5.720000000000000,1.030000000000000,2.900000000000000,0.460000000000000,2.710000000000000,0.410000000000000,4.910000000000000,1.000000000000000,0.000000000000000,0.930000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
55,349245,353752,55K/03/61/S/21-22,78.159433000000007,21.327586000000000,45.969999999999999,11.670000000000000,15.210000000000001,2.790000000000000,6.630000000000000,2.470000000000000,0.310000000000000,0.410000000000000,0.310000000000000,0.180000000000000,0.000000000000000,110.000000000000000,21.000000000000000,35.000000000000000,402.000000000000000,3.390000000000000,1.000000000000000,84.000000000000000,8.000000000000000,17.090000000000000,147.000000000000000,27.000000000000000,153.000000000000000,2.500000000000000,178.000000000000000,161.000000000000000,101.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.500000000000000,1.120000000000000,0.000000000000000,3.110000000000000,15.010000000000000,35.979999999999997,4.200000000000000,19.989999999999998,4.770000000000000,1.520000000000000,0.850000000000000,4.920000000000000,5.300000000000000,0.980000000000000,2.730000000000000,0.400000000000000,2.390000000000000,0.360000000000000,4.120000000000000,0.950000000000000,0.000000000000000,0.650000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
56,349246,353753,55K/03/62/S/21-22,78.192571999999998,21.326188999999999,47.810000000000002,13.310000000000000,12.830000000000000,2.300000000000000,7.490000000000000,2.220000000000000,0.220000000000000,0.780000000000000,0.540000000000000,0.220000000000000,0.000000000000000,133.000000000000000,21.000000000000000,29.000000000000000,296.000000000000000,4.740000000000000,1.000000000000000,90.000000000000000,14.000000000000000,25.980000000000000,144.000000000000000,29.000000000000000,174.000000000000000,11.000000000000000,147.000000000000000,158.000000000000000,101.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.500000000000000,1.240000000000000,0.000000000000000,0.500000000000000,19.149999999999999,43.780000000000001,5.500000000000000,25.280000000000001,5.970000000000000,1.730000000000000,0.980000000000000,5.650000000000000,6.110000000000000,1.080000000000000,3.010000000000000,0.440000000000000,2.740000000000000,0.410000000000000,5.290000000000000,1.070000000000000,0.000000000000000,0.890000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
57,349247,353754,55K/03/63/S/21-22,78.196821999999997,21.327278000000000,43.799999999999997,12.529999999999999,16.930000000000000,4.150000000000000,5.780000000000000,2.600000000000000,0.270000000000000,0.870000000000000,0.130000000000000,0.210000000000000,0.000000000000000,25.000000000000000,21.000000000000000,38.000000000000000,518.000000000000000,4.250000000000000,1.000000000000000,113.000000000000000,0.500000000000000,13.220000000000001,132.000000000000000,31.000000000000000,202.000000000000000,19.000000000000000,197.000000000000000,159.000000000000000,145.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.090000000000000,1.770000000000000,0.000000000000000,3.020000000000000,19.840000000000000,47.979999999999997,6.200000000000000,28.719999999999999,7.090000000000000,2.390000000000000,1.330000000000000,7.170000000000000,8.050000000000001,1.450000000000000,4.270000000000000,0.590000000000000,3.490000000000000,0.550000000000000,8.609999999999999,1.730000000000000,0.000000000000000,0.790000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
58,349248,353755,55K/03/64/S/21-22,78.216149999999999,21.335308000000001,49.770000000000003,11.810000000000000,11.830000000000000,2.150000000000000,6.780000000000000,2.890000000000000,0.170000000000000,0.840000000000000,0.960000000000000,0.220000000000000,0.000000000000000,174.000000000000000,19.000000000000000,26.000000000000000,292.000000000000000,5.650000000000000,5.000000000000000,78.000000000000000,16.000000000000000,34.140000000000001,195.000000000000000,28.000000000000000,189.000000000000000,13.000000000000000,129.000000000000000,121.000000000000000,101.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.030000000000000,1.140000000000000,0.000000000000000,3.960000000000000,18.840000000000000,41.590000000000003,4.960000000000000,21.730000000000000,4.900000000000000,1.460000000000000,0.850000000000000,5.010000000000000,5.170000000000000,0.920000000000000,2.680000000000000,0.390000000000000,2.490000000000000,0.360000000000000,5.200000000000000,0.990000000000000,0.000000000000000,1.160000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
59,349249,353756,55K/03/65/S/21-22,78.238933000000003,21.327802999999999,52.229999999999997,12.190000000000000,10.680000000000000,1.840000000000000,6.290000000000000,3.160000000000000,0.160000000000000,0.600000000000000,1.130000000000000,0.130000000000000,0.000000000000000,201.000000000000000,19.000000000000000,24.000000000000000,258.000000000000000,6.290000000000000,14.000000000000000,75.000000000000000,17.000000000000000,37.719999999999999,182.000000000000000,28.000000000000000,201.000000000000000,11.000000000000000,131.000000000000000,102.000000000000000,88.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.500000000000000,1.040000000000000,0.000000000000000,0.500000000000000,18.989999999999998,40.619999999999997,4.650000000000000,19.149999999999999,4.030000000000000,1.120000000000000,0.670000000000000,3.800000000000000,3.930000000000000,0.710000000000000,2.080000000000000,0.330000000000000,1.870000000000000,0.300000000000000,4.030000000000000,0.760000000000000,0.000000000000000,1.240000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
60,349250,353757,55K/03/66/S/21-22,78.003732999999997,21.349699999999999,52.990000000000002,11.050000000000001,11.210000000000001,2.430000000000000,5.940000000000000,2.870000000000000,0.170000000000000,0.900000000000000,0.680000000000000,0.170000000000000,0.000000000000000,193.000000000000000,19.000000000000000,25.000000000000000,305.000000000000000,5.160000000000000,3.000000000000000,67.000000000000000,15.000000000000000,23.609999999999999,180.000000000000000,27.000000000000000,235.000000000000000,13.000000000000000,129.000000000000000,114.000000000000000,96.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.500000000000000,1.070000000000000,0.000000000000000,0.500000000000000,18.010000000000002,37.189999999999998,4.720000000000000,20.440000000000001,4.260000000000000,1.370000000000000,0.730000000000000,4.780000000000000,4.710000000000000,0.850000000000000,2.540000000000000,0.360000000000000,2.280000000000000,0.350000000000000,5.170000000000000,0.860000000000000,0.000000000000000,1.010000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
61,349251,353758,55K/03/67/S/21-22,78.027738999999997,21.354075000000002,55.200000000000003,12.560000000000000,11.359999999999999,1.820000000000000,3.210000000000000,2.770000000000000,0.180000000000000,0.510000000000000,1.110000000000000,0.150000000000000,0.000000000000000,209.000000000000000,20.000000000000000,26.000000000000000,264.000000000000000,9.199999999999999,17.000000000000000,73.000000000000000,13.000000000000000,55.420000000000002,140.000000000000000,29.000000000000000,209.000000000000000,9.000000000000000,145.000000000000000,106.000000000000000,90.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.270000000000000,1.210000000000000,0.000000000000000,2.040000000000000,22.280000000000001,53.850000000000001,5.490000000000000,23.870000000000001,4.990000000000000,1.210000000000000,0.780000000000000,4.780000000000000,4.930000000000000,0.860000000000000,2.520000000000000,0.390000000000000,2.430000000000000,0.380000000000000,5.230000000000000,0.910000000000000,0.000000000000000,1.780000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
62,349252,353759,55K/03/68/S/21-22,78.047267000000005,21.353242000000002,49.960000000000001,11.289999999999999,13.539999999999999,2.670000000000000,5.800000000000000,2.660000000000000,0.220000000000000,0.730000000000000,0.680000000000000,0.170000000000000,0.000000000000000,137.000000000000000,20.000000000000000,30.000000000000000,377.000000000000000,5.630000000000000,1.000000000000000,89.000000000000000,11.000000000000000,28.250000000000000,148.000000000000000,29.000000000000000,183.000000000000000,13.000000000000000,172.000000000000000,120.000000000000000,116.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.500000000000000,1.360000000000000,0.000000000000000,0.500000000000000,18.890000000000001,41.460000000000001,5.230000000000000,23.680000000000000,5.500000000000000,1.710000000000000,0.970000000000000,5.490000000000000,5.960000000000000,1.040000000000000,2.920000000000000,0.470000000000000,2.660000000000000,0.450000000000000,6.810000000000000,1.010000000000000,0.000000000000000,1.120000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
63,349253,353760,55K/03/72/S/21-22,78.133235999999997,21.351106000000001,55.369999999999997,12.199999999999999,9.380000000000001,1.640000000000000,4.810000000000000,2.620000000000000,0.170000000000000,0.410000000000000,1.710000000000000,0.220000000000000,0.000000000000000,252.000000000000000,18.000000000000000,22.000000000000000,214.000000000000000,12.820000000000000,21.000000000000000,72.000000000000000,19.000000000000000,79.200000000000003,130.000000000000000,29.000000000000000,209.000000000000000,10.000000000000000,125.000000000000000,83.000000000000000,88.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.660000000000000,1.230000000000000,0.000000000000000,3.190000000000000,33.820000000000000,71.670000000000002,8.230000000000000,35.060000000000002,7.070000000000000,1.630000000000000,1.070000000000000,6.030000000000000,5.430000000000000,1.120000000000000,3.420000000000000,0.520000000000000,3.120000000000000,0.480000000000000,7.110000000000000,1.280000000000000,0.000000000000000,2.260000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
64,349254,353761,55K/03/73/S/21-22,78.150711000000001,21.350328000000001,54.149999999999999,12.619999999999999,10.600000000000000,1.710000000000000,3.310000000000000,2.930000000000000,0.180000000000000,0.410000000000000,1.450000000000000,0.170000000000000,0.000000000000000,223.000000000000000,20.000000000000000,24.000000000000000,233.000000000000000,8.289999999999999,24.000000000000000,80.000000000000000,17.000000000000000,58.340000000000003,126.000000000000000,30.000000000000000,212.000000000000000,10.000000000000000,146.000000000000000,97.000000000000000,91.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.150000000000000,0.980000000000000,0.000000000000000,0.500000000000000,22.859999999999999,51.479999999999997,5.420000000000000,22.600000000000001,4.620000000000000,1.120000000000000,0.700000000000000,4.310000000000000,4.520000000000000,0.760000000000000,2.230000000000000,0.340000000000000,2.190000000000000,0.360000000000000,4.490000000000000,0.890000000000000,0.000000000000000,1.600000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
